checked in,company name,drive time,driver status,entry count,event date,last updated,question_1,question_10,question_11,question_12,question_13,question_14,question_15,question_16,question_17,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,registered,signed waiver,survey complete,timestamp,vehicle
yes,Cardinal Health - Tuesday,2:30 PM,Driver,,2018-06-12 00:00:00.000,2018-06-07 12:10:00.000,NO,Important,Important,Very Important,Very Important,20-30,,A little,,"Sedan, SUV",NO,Very Important,Very Important,Important,Important,Somewhat Important,Important,yes,yes,no,,Tesla Model X
yes,Cardinal Health - Tuesday,11:00 AM,Driver,,2018-06-12 00:00:00.000,2018-06-07 12:55:00.000,NO,Very Important,Important,Very Important,Important,20-30,,Very much,,SUV,NO,Important,Somewhat Important,Somewhat Important,Important,Important,Important,yes,yes,yes,,Tesla Model X
yes,Cardinal Health - Tuesday,4:00 PM,Driver,,2018-06-12 00:00:00.000,2018-06-07 12:57:00.000,NO,Important,Important,Very Important,Very Important,20-30,N/A,A little,N/A,"Sedan, SUV",NO,Important,Very Important,Important,Very Important,Somewhat Important,Important,yes,yes,yes,,Tesla Model X
yes,Cardinal Health - Wednesday,9:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 15:11:00.000,NO,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,20-30,,A little,,Truck,NO,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,Somewhat Important,yes,yes,no,,Tesla Model S
yes,Cardinal Health - Wednesday,9:30 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 16:00:00.000,NO,Somewhat Important,Important,Very Important,Important,60+,,A little,,SUV,NO,Very Important,Somewhat Important,Very Important,Very Important,Unimportant,Very Important,yes,yes,no,,Tesla Model S
yes,Cardinal Health - Wednesday,4:00 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 16:36:00.000,NO,Somewhat Important,Very Important,Very Important,Very Important,50-60,,Very much,,Sedan,NO,Somewhat Important,Very Important,Very Important,Very Important,Important,Important,yes,yes,yes,,Tesla Model S
yes,Cardinal Health - Wednesday,10:00 AM,Driver,,2018-06-13 00:00:00.000,2018-06-07 16:47:00.000,NO,Very Important,Very Important,Very Important,Very Important,20-30,,A little,,SUV,NO,Important,Very Important,Very Important,Very Important,Important,Important,yes,yes,no,,Tesla Model S
yes,Cardinal Health - Wednesday,3:30 PM,Driver,,2018-06-13 00:00:00.000,2018-06-07 17:13:00.000,NO,Very Important,Very Important,Very Important,Very Important,30-40,,Very much,,"SUV, Sports Car",NO,Very Important,Very Important,Somewhat Important,Important,Somewhat Important,Very Important,yes,yes,no,,Tesla Model S
no,Cardinal Health - Tuesday,2:00 PM,Driver,,2018-06-12 00:00:00.000,2018-06-08 18:17:00.000,NO,Unimportant,Important,Very Important,Very Important,20-30,N/A,A little,Yes,Sedan,NO,Important,Very Important,Important,Important,Somewhat Important,Important,yes,no,no,,BMW i3
yes,Cardinal Health - Tuesday,10:30 AM,Driver,,2018-06-12 00:00:00.000,2018-06-08 13:22:00.000,NO,Unimportant,Important,Very Important,Very Important,20-Oct,,A little,,Sports Car,NO,Very Important,Important,Important,Very Important,Very Important,Very Important,yes,yes,yes,,BMW X5
